loop|cluster|count|distance
0|23|57|-4.65303111200587
1|67|48|36.94902535694451
2|40|17|-4.65303111200587
3|20|26|-1.786582399219177
4|66|11|22.550722159496058
5|21|38|20.348681113123096
6|73|10|8.34260395847846
7|11|31|27.679396475198693
8|94|50|1.2772647375130084
9|18|33|30.106786932703393
10|78|36|-14.181692567665822
11|57|26|33.34578349928143
12|82|39|27.10835886840055
13|30|56|29.944864630370212
14|76|78|14.334672588722205
15|43|26|24.134280929597484
16|8|27|20.868790005360538
17|86|18|20.49424187213668
18|45|35|50.32740642880733
19|6|57|10.138854227453661
20|4|72|6.477718399324424
21|31|41|29.46064739824552
22|7|56|5.837776775083257
23|84|25|27.654034093900965
24|41|39|14.200301931987294
25|19|95|34.575825086325544
26|74|30|-21.912093727065535
27|99|4|-24.803097623342758
28|97|52|10.018912401068695
29|27|39|-14.509256507980956
30|25|39|8.26451842229229
31|5|15|-9.32512584513
32|88|26|-16.144260257634357
33|12|58|29.28083533731079
34|75|44|16.92251030876587
35|79|55|16.42171642667452
36|59|48|16.844630239344287
37|13|87|-31.691259271101202
38|51|50|29.711808024389946
39|32|21|32.55118647612708
40|3|68|-17.88738509751878
41|90|24|16.0754297928415
42|34|19|17.9030719084137
43|87|38|29.72542734373022
44|80|37|3.0616265981179582
45|1|23|-22.599862498569614
46|46|11|35.36513470476759
47|0|51|4.415394618635171
48|15|15|1.01447871774866
49|10|22|-0.537794929647076
50|22|21|12.738541324190415
51|65|22|18.54714369302215
52|35|50|-0.1146153288848884
53|2|23|29.827175315214298
54|52|9|17.45498957165053
55|39|36|23.244232577276026
56|29|82|37.88703703693756
57|48|75|-3.9713713907118073
58|98|10|16.048578448849753
59|49|47|15.316622985806614
60|83|20|17.001990478826983
61|42|35|9.530782953966217
62|71|6|29.959460327192218
63|77|24|4.665352082665832
64|61|1|31.90898730703286
65|60|41|28.86260960070563
66|89|14|4.799115676809116
67|62|40|30.29614989111873
68|58|12|25.192056756865394
69|81|18|6.397992926791194
70|24|21|55.63681082191611
71|28|19|34.352293914578794
72|69|38|9.64802763283788
73|17|28|21.14758719677582
74|37|18|-3.879548695355797
75|64|13|19.876976285508942
76|38|6|16.936354804763155
77|44|27|26.082901047828997
78|9|36|18.923286525853346
79|96|21|57.40200109212753
80|70|6|21.939989736628533
81|56|4|22.991019344937136
82|26|3|16.393592845859708
83|36|20|35.06392694458585
84|16|9|22.06353237433939
85|92|27|26.51870749250959
86|68|12|4.599028862514945
87|50|16|16.458556930782226
88|85|15|39.039930631386056
89|63|9|27.378599960906456
90|54|3|1.3427478216563749
91|91|4|-44.27206165307663
92|95|5|26.42594954388042
93|53|9|22.493708611083036
94|14|9|8.73733195372384
95|33|16|33.84824172971829
96|72|2|28.149015986092067
97|47|3|2.109332330061213
98|93|1|16.618889792523877
99|55|5|39.96750577825622
